current_gold,total_gold,level,xp,cs,jg,champion_mastery,damage_taken_per_min,champion_mastery_median,champion_mastery_min,ward_placed,elite_monster_killed,building_killed,champion_killed,winner
-248.0,-4778.0,-6.0,-5914.0,-5.0,-54.0,0.0,-111.70000000000005,0,0,-144,-2,-3,-4,1
2688.0,5853.0,2.0,2565.0,72.0,15.0,0.0,-111.29999999999995,0,0,17,3,0,4,0
597.0,-5033.0,-4.0,-4401.0,-7.0,-44.0,0.0,-377.0999999999999,0,0,-5,0,-1,-6,0
980.0,-3609.0,-2.0,-833.0,-45.0,-34.0,0.0,-356.6999999999998,0,0,22,-3,-2,-2,1
3493.0,5485.0,3.0,4650.0,43.0,25.0,0.0,-269.9000000000001,0,0,-5,1,-2,9,0
-5163.0,-7873.0,-4.0,-5804.0,-60.0,-44.0,0.0,185.10000000000036,0,0,8,-3,-4,-8,1
-238.0,-10.0,0.0,-1334.0,-4.0,22.0,0.0,14.599999999999909,0,0,165,-2,-2,-2,1
2734.0,8229.0,6.0,6705.0,114.0,53.0,0.0,-211.69999999999936,0,0,5,2,3,9,0
1661.0,7655.0,7.0,7445.0,51.0,8.0,0.0,-522.6000000000001,0,0,135,4,1,14,0
-4207.0,-1517.0,-4.0,-5534.0,-23.0,4.0,0.0,-265.49999999999955,0,0,7,0,-1,1,1
391.0,1346.0,1.0,2724.0,7.0,41.0,0.0,264.80000000000064,0,0,-2,-3,-1,-6,1
1013.0,-87.0,-2.0,-2644.0,35.0,18.0,0.0,-319.5999999999999,0,0,6,3,0,-5,0
-774.0,2636.0,2.0,4046.0,5.0,16.0,0.0,322.7999999999997,0,0,5,1,-1,5,1
2578.0,2361.0,-1.0,873.0,-11.0,-59.0,0.0,-482.1999999999998,0,0,-3,2,3,7,0
-1062.0,-9722.0,-9.0,-10512.0,-61.0,-30.0,0.0,-124.40000000000009,0,0,-1,1,-4,-14,1
4830.0,6718.0,7.0,9586.0,24.0,3.0,0.0,-230.00000000000045,0,0,5,2,1,10,0
